iter	AUC	Logloss
769	0.8865467906	0.3645308645
770	0.886567533	0.3645030855
771	0.8865777254	0.3644819855
772	0.8865951896	0.3644561016
773	0.886615932	0.3644306337
774	0.8866194487	0.3644203495
775	0.8867705464	0.3642367356
776	0.8868216872	0.3641911615
777	0.8868741393	0.3641333849
778	0.8868960142	0.364078243
779	0.8868963718	0.3640735284
780	0.8869403005	0.3640055832
781	0.8869416118	0.3640033876
782	0.8869718313	0.3639710097
783	0.8869883418	0.3639485461
784	0.8870424628	0.3639057453
785	0.8870714605	0.3638805547
786	0.8871219754	0.3637712877
787	0.8871383071	0.3637493557
788	0.8871483207	0.3637347267
789	0.8871518373	0.3637257597
790	0.8871796131	0.3636898689
791	0.8872115016	0.363630752
792	0.8872483969	0.3635763264
793	0.8872611523	0.3635637311
794	0.8872730136	0.3635440871
795	0.8872737885	0.3635308447
796	0.8873297572	0.3634421462
797	0.8874098659	0.363350813
798	0.8874947429	0.3632590638
799	0.8875206709	0.3632307533
800	0.8875249624	0.3632283498
801	0.8875538707	0.3631804646
802	0.8875690699	0.3631603352
803	0.8875666857	0.3631473702
804	0.8875761032	0.3631329029
805	0.8875831366	0.3631206774
806	0.887601316	0.3631119416
807	0.8876188993	0.363060428
808	0.8876435757	0.3630396978
809	0.8876871467	0.3630016115
810	0.8876999617	0.3629881842
811	0.8877355456	0.3629525476
812	0.8877469897	0.3629255544
813	0.8877460957	0.3629248611
814	0.8877519965	0.3629165875
815	0.8877519965	0.362915871
816	0.8878035545	0.3628495667
817	0.887804091	0.362848804
818	0.8878057599	0.3628396984
819	0.8878285885	0.3627856427
820	0.8878376484	0.3627733016
821	0.8878473043	0.3627623703
822	0.8879358768	0.3626557841
823	0.8879566789	0.3626209102
824	0.8879785538	0.3625857358
825	0.8879824281	0.3625815759
826	0.888004303	0.36256489
827	0.8880107999	0.3625216038
828	0.8880259991	0.3624965288
829	0.8880233765	0.3624949342
830	0.888045609	0.3624444143
831	0.888066411	0.3624226441
832	0.8881192207	0.3623831712
833	0.8881188631	0.3623823854
834	0.8881751895	0.3623215814
835	0.8881783485	0.3623099567
836	0.8881783485	0.362309171
837	0.8881783485	0.3623085239
838	0.8881778121	0.3623065595
839	0.8881801963	0.3623021222
840	0.8881998658	0.3622673176
841	0.8881989121	0.3622539366
842	0.8882032037	0.3622531508
843	0.8882815838	0.362158975
844	0.8883928061	0.3620046423
845	0.888412565	0.3619651924
846	0.8884434104	0.3619322829
847	0.8884522915	0.3619173766
848	0.8885071874	0.3618722877
849	0.8885127306	0.3618678967
850	0.8885108829	0.3618664176
851	0.8885192275	0.3618500091
852	0.8885218501	0.3618435381
853	0.8885301948	0.3618377142
854	0.888561666	0.3618040883
855	0.8885833621	0.3617843287
856	0.8886124492	0.3617322836
857	0.8886082172	0.3617318676
858	0.8886343241	0.3616973403
859	0.8886517882	0.3616748075
860	0.8886653185	0.3616693765
861	0.8886682391	0.3616677125
862	0.888713479	0.361598242
863	0.8887166381	0.3615947523
864	0.8887212873	0.3615896217
865	0.8887238503	0.3615558109
866	0.8887455463	0.3615202436
867	0.8887507319	0.3615139344
868	0.8887524009	0.3614966246
869	0.8887528181	0.3614940593
870	0.8887777925	0.3614686838
871	0.8887996674	0.3614417368
872	0.8888137937	0.3614334401
873	0.8888860941	0.3613126409
874	0.8888838291	0.3613121787
875	0.8889390826	0.3612475151
876	0.8890005946	0.3611775824
877	0.88903898	0.3611108158
878	0.8890549541	0.3610929051
879	0.8891051412	0.3610418075
880	0.8891066313	0.3610321472
881	0.8891218305	0.3610194595
